"","State","asian_prop","black_prop","hispanic_prop","white_prop","ppbill","pcttip","flair","intro","selling","repeat.","customer_name","smile","thanks","Extraverted_enthusiastic","Critical_quarrelsome","Dependable_selfdisciplined","Anxious_easily_upset","Reserved_quiet","Sympathetic_warm","Disorganized_careless","Conventional_uncreative","birth_yr","sex","race"
"827","mn",3,15,7,75,9.5,13,"Never","Always","Always","Always","Sometimes","Often","Always","5","4","5","3","3","6","4","1",1974,"Male","White"
"828","az",2,5,10,83,20,10,"Always","Always","Often","Often","Often","Always","Always","7","2","7","3","1","6","2","2",1975,"Female","White"
"829","ia",0,0,0,100,15,20,"Sometimes","Sometimes","Sometimes","Often","Sometimes","Sometimes","Often","5","2","4","6","6","6","5","4",1980,"Female","White"
"830","ny",5,15,5,75,15,15,"Never","Sometimes","Often","Sometimes","Never","Sometimes","Often","6","5","7","5","3","2","1","2",1964,"Male","White"
"833","nh",0,10,5,85,18,18,"Never","Always","Always","Often","Never","Sometimes","Often","5","4","6","3","2","5","2","2",1966,"Male","White"
"834","ks",5,20,15,65,19,15,"Always","Always","Always","Sometimes","Often","Often","Never","6","2","7","1","2","6","1","2",1959,"Male","White"
"837","wi",8,30,2,60,40,13,"Never","Always","Always","Sometimes","Never","Never","Never","6","4","6","2","4","6","4","1",1986,"Male","White"
"838","tx",1,15,4,80,20,12,"Never","Sometimes","Never","Never","Sometimes","Always","Never","7","1","6","1","1","6","5","1",1982,"Female","White"
"840","pa",3,3,5,89,20,17,"Never","Always","Always","Sometimes","Often","Always","Sometimes","7","1","6","1","1","7","2","1",1984,"Female","White"
"842","al",5,20,5,70,30,18,"Always","Never","Often","Never","Often","Never","Never","6","1","7","1","2","6","1","2",1954,"Male","White"
"843","ga",3,7,0,90,25,20,"Never","Always","Often","Often","Never","Sometimes","Never","4","1","7","1","2","3","2","1",1986,"Male","White"
"844","ny",10,20,10,60,35,19,"Never","Sometimes","Always","Sometimes","Often","Often","Never","7","5","7","1","2","6","1","2",1982,"Female","White"
"848","tx",1,1,48,50,40,20,"Never","Never","Never","Sometimes","Sometimes","Always","Always","2","3","7","4","7","5","1","2",1981,"Female","White"
"849","fl",5,15,30,50,15,17,"Sometimes","Always","Always","Often","Sometimes","Always","Sometimes","6","1","7","1","5","7","1","2",1986,"Female","White"
"852","co",10,10,5,75,35,19,"Never","Always","Sometimes","Never","Never","Often","Never","7","2","7","3","3","7","1","2",1979,"Female","White"
"853","tx",5,10,5,80,45,18,"Never","Never","Always","Sometimes","Often","Often","Never","5","2","6","1","1","3","1","2",1969,"Female","White"
"854","ny",10,20,20,30,15,15,"Sometimes","Always","Always","Often","Sometimes","Sometimes","Sometimes","3","1","7","1","5","6","1","1",1962,"Male","White"
